Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD), Jobs
Brazil,2003,Geothermal,53770.4479,34773.45226,2510469128,895867
Brazil,2021,Geothermal,76496.97591,25607.25544,6551275133,347941
Brazil,2009,Solar,1087.245594,30299.41087,4686346730,433483
Brazil,2015,Hydro,89157.11588,38813.1534,3539832024,534049
Brazil,2004,Geothermal,24200.61341,30679.94048,7952421555,993309
Brazil,2013,Wind,1577.986802,664.84413,2494594851,306378
Brazil,2002,Biomass,28232.46312,23609.60028,3265992211,31171
Brazil,2008,Geothermal,48425.01788,45391.2557,6047810661,570422
Brazil,2011,Solar,25460.77233,17997.21099,801360121.6,421736
Brazil,2018,Hydro,67246.2885,6980.818054,221727721.1,799927
Brazil,2002,Geothermal,46316.92553,37230.78881,9865520118,634347
Brazil,2006,Solar,18920.57114,3391.263545,1802571791,349433
Brazil,2007,Biomass,41400.85022,6130.987712,264452109.9,771649
Brazil,2008,Geothermal,73809.60072,41847.50554,6542457144,814574
Brazil,2016,Solar,89553.34701,5021.215089,230691116.5,90157
Brazil,2015,Biomass,10669.52261,38050.94989,6289026707,738150
Brazil,2011,Solar,37185.69376,5972.319209,1755931780,938760
Brazil,2022,Biomass,89223.00182,6171.975473,246120578.5,306667
Brazil,2004,Hydro,88677.42214,25670.0502,8204464277,888133
Brazil,2020,Wind,56184.80776,14360.44169,8954228688,912777
Brazil,2010,Geothermal,43718.30051,25083.14434,541778914.4,870049
Brazil,2004,Hydro,28573.59385,21794.14554,3050742512,417499
Brazil,2003,Wind,3703.093577,38991.24918,942894612.3,506663
Brazil,2021,Hydro,7936.767276,37058.92689,6278868135,12733
Brazil,2007,Geothermal,40944.03619,35564.04026,6058731811,662607
Brazil,2011,Solar,42401.94804,41722.02934,6184476844,322965
Brazil,2002,Biomass,96382.51213,6974.952112,6139686552,813169
Brazil,2008,Hydro,91477.99963,43518.34979,658230255.1,895103
Brazil,2015,Hydro,93342.96514,16942.2824,7906061548,245672
Brazil,2005,Wind,61773.4162,30139.47573,7812266384,684179
Brazil,2019,Geothermal,51702.31909,46102.98724,5951984920,401010
Brazil,2007,Wind,6960.225476,2283.058307,4597333339,153607
Brazil,2002,Geothermal,21058.62823,47801.37879,9883954679,951580
Brazil,2018,Biomass,21060.23783,14329.9488,6515294987,178873
Brazil,2001,Biomass,80428.64179,44468.60997,6583208941,994319
Brazil,2010,Solar,78352.85918,4964.017598,7929218442,778414
Brazil,2014,Biomass,72789.84326,41740.26447,8874341553,327567
Brazil,2015,Biomass,14376.02637,4757.015364,3157226870,865914
Brazil,2005,Biomass,74453.14556,32847.13947,1179275574,84867
Brazil,2018,Wind,29374.43268,25633.35375,2905409782,314880
Brazil,2012,Wind,13751.25332,27874.62091,2901030008,63862
Brazil,2021,Biomass,4433.276883,1446.294467,1212656772,823886
Brazil,2005,Wind,96698.7616,2452.552436,1157330076,652201
Brazil,2021,Solar,35411.03296,27185.1482,7628077896,458249
Brazil,2016,Geothermal,61588.05303,32825.96316,3564491233,461467
Brazil,2000,Hydro,52656.45718,17809.25096,2901947353,979299
Brazil,2021,Geothermal,54617.04002,17745.32087,4849633996,872480
Brazil,2000,Solar,26661.32576,4488.650308,9686216381,592586
Brazil,2023,Hydro,84713.48795,32741.48408,4086542737,884792
Brazil,2014,Geothermal,13777.46309,44667.42805,6921316728,236999
Brazil,2020,Wind,9687.803601,45608.48647,7041811960,107702
Brazil,2012,Wind,4582.415783,5085.715403,291987332.5,107847
Brazil,2013,Wind,32109.74826,18705.43606,6316313424,117852
Brazil,2005,Biomass,47113.78241,36048.46699,6788030204,707762
Brazil,2003,Hydro,11294.80209,14928.68397,256327184.2,277811
Brazil,2019,Hydro,76528.58115,10670.04272,9666198522,193814
Brazil,2009,Wind,40115.98122,47489.50948,5318695751,544673
Brazil,2020,Biomass,27701.47099,19557.6779,4656705094,296307
Brazil,2018,Hydro,39347.6028,17632.01509,1944519747,394802
Brazil,2018,Hydro,67516.67593,6348.196114,3284621454,477543
Brazil,2020,Geothermal,30884.05359,39759.47714,5967054893,147687
Brazil,2017,Geothermal,72351.03889,49939.8032,5674979287,349975
Brazil,2008,Wind,4252.713315,26479.58643,7333955868,561637
Brazil,2002,Wind,63914.50333,23576.93342,3235167750,998387
Brazil,2017,Solar,99861.15067,1952.904794,1046081216,105895
Brazil,2006,Hydro,35633.39802,494.906337,5434731787,376289
Brazil,2020,Biomass,5841.977705,46954.82267,3256124412,550398
Brazil,2002,Hydro,85604.49529,42140.89221,7094224280,106909
Brazil,2018,Solar,35462.43001,49391.91331,1059503346,438215
Brazil,2008,Geothermal,69010.97445,9167.385673,8376495607,217409
Brazil,2010,Hydro,5032.910997,41838.13562,7603050060,767021
Brazil,2015,Geothermal,47341.46067,32522.69175,5757289006,76403
Brazil,2018,Geothermal,86216.35236,25971.30057,9885849174,428919
Brazil,2004,Biomass,58619.14442,31510.50123,452460659.8,263880
Brazil,2022,Wind,6825.248931,28271.80607,5920829809,783133
Brazil,2001,Geothermal,8222.954236,40342.41332,8640719635,973000
Brazil,2003,Solar,68572.03469,23921.74813,9916333643,967260
Brazil,2010,Geothermal,42601.56425,45364.87481,8649343293,38432
Brazil,2021,Biomass,5998.378419,41219.54701,2597606988,667563
Brazil,2001,Hydro,17924.2704,34843.91759,6838006889,698208
Brazil,2011,Biomass,89139.47153,48074.89152,820830989,239956
Brazil,2008,Hydro,24070.87527,26341.23081,6941781645,374217
Brazil,2017,Geothermal,59350.31772,13730.33292,9742532682,174390
Brazil,2000,Hydro,42664.09097,25558.67398,8940697480,610640
Brazil,2021,Hydro,53794.42942,43037.13622,5304281705,206139
Brazil,2000,Hydro,7654.02414,37439.17069,4537148939,821307
Brazil,2017,Solar,17077.17158,2247.489508,2631362444,386952
Brazil,2015,Hydro,25015.99174,22730.42815,55932250.18,454802
Brazil,2019,Geothermal,92311.36408,40956.6421,7269310709,451254
Brazil,2018,Hydro,42075.60067,30012.18465,8240566549,87607
Brazil,2007,Geothermal,88663.50523,27055.76431,8237641691,878142
Brazil,2007,Solar,46602.61649,26284.74877,1348425994,794572
Brazil,2000,Geothermal,23865.88777,7798.080295,5074782285,932999
Brazil,2010,Geothermal,36591.74602,49770.56766,3602067604,213528
Brazil,2011,Biomass,90955.73134,14542.87594,5086556150,612952
Brazil,2023,Hydro,10977.64551,49942.7908,6813506982,117600
Brazil,2000,Geothermal,95698.0267,20311.14908,2291291261,940595
Brazil,2017,Solar,70014.14066,2742.019332,7421727206,546706
Brazil,2014,Solar,39272.26479,36977.65083,2257993386,346751
Brazil,2006,Geothermal,65487.00532,24451.14547,3593836746,563923
Brazil,2017,Solar,60089.00019,10126.29145,1853647965,972350
Brazil,2004,Wind,86680.65324,37880.13667,923221635.7,740381
Brazil,2014,Biomass,54146.65411,20892.23034,7189353420,533072
Brazil,2011,Hydro,10720.91803,34229.40702,7904575440,505457
Brazil,2014,Biomass,9459.501114,47897.57645,2644216770,642325
Brazil,2019,Geothermal,75948.23915,32179.15227,2152816476,980752
Brazil,2001,Solar,13819.19547,17762.32771,3227848971,196095
Brazil,2021,Wind,65291.97213,12989.18457,2191982611,381040
Brazil,2012,Solar,54503.50148,16612.83916,1809760033,172260
Brazil,2007,Biomass,13367.77689,26336.33553,1983818322,155235
Brazil,2019,Hydro,57680.76204,11567.09818,3054934450,530583
Brazil,2005,Geothermal,36779.20561,34042.97956,4585746079,505600
Brazil,2022,Biomass,82455.28145,30598.89878,1393764777,888641
Brazil,2011,Hydro,65857.93897,12528.94139,2592399772,628504
Brazil,2009,Biomass,85032.37906,18363.01947,8518900459,477117
Brazil,2006,Solar,78745.1393,18900.19737,1111976749,950409
Brazil,2016,Wind,95393.82095,5312.371075,2904159197,586828
Brazil,2020,Solar,34994.2156,11304.32502,4535036888,550007
Brazil,2011,Solar,57369.69833,9832.415344,8157508078,373592
Brazil,2006,Solar,52145.38235,12496.78061,6970925161,963193
Brazil,2005,Solar,44304.04761,40078.67241,5028950441,375648
Brazil,2015,Geothermal,44638.02317,11065.54681,3734797372,675982
Brazil,2002,Biomass,84336.99641,2772.487476,1605821364,726831
Brazil,2016,Solar,93966.48828,18338.7045,8373955402,566172
Brazil,2015,Biomass,34358.50451,46617.65861,8359835166,556002
Brazil,2005,Geothermal,53479.71158,47623.52312,2874864323,102494
Brazil,2009,Biomass,57512.66027,27822.98339,5664212577,170352
Brazil,2003,Solar,53827.57781,10958.80831,2532755236,683046
Brazil,2011,Geothermal,29395.69851,30365.20013,3917725584,168522
Brazil,2022,Wind,27852.89893,10680.14781,292426600.1,115467
Brazil,2005,Biomass,44935.55452,35027.94689,3049851131,232704
Brazil,2016,Biomass,68441.049,27829.27121,8746849605,46485
Brazil,2013,Wind,80452.60713,49354.73928,4651722229,141078
Brazil,2011,Geothermal,29629.58944,17820.32513,6459795592,136143
Brazil,2018,Solar,96473.20602,47469.50397,5335038445,946379
Brazil,2014,Geothermal,45150.50091,26085.63275,8511765369,496968
Brazil,2009,Hydro,1597.428035,42998.40159,2312079746,304528
Brazil,2016,Wind,20002.3043,35888.94588,3311385165,413031
Brazil,2016,Hydro,58812.68274,17326.15373,9390058425,582736
Brazil,2022,Wind,82824.76606,38485.1392,4219446830,685182
Brazil,2015,Hydro,10591.60329,4616.415087,8251695360,540297
Brazil,2011,Solar,88354.1014,20409.94026,4007420223,700986
Brazil,2002,Geothermal,55519.38514,33381.46332,9490944045,61778
Brazil,2022,Solar,11615.9878,13704.28042,7371028189,158981
Brazil,2016,Biomass,98689.06718,31087.76174,8390698082,34824
Brazil,2009,Hydro,93750.06668,45073.4193,4961476922,149460
Brazil,2001,Hydro,67157.93572,29081.09578,2679124829,138975
Brazil,2017,Geothermal,12724.6457,3332.06,4714850722,759033
Brazil,2017,Geothermal,93332.60297,7175.183482,6159300988,809956
Brazil,2012,Wind,30318.88623,28509.43151,2331416296,280189
Brazil,2014,Wind,28225.76781,26266.399,2253835181,645489
Brazil,2002,Wind,10442.73981,13313.35759,5991604669,559156
Brazil,2019,Solar,11755.57025,33452.14384,4147890343,386025
Brazil,2002,Wind,44390.51391,20046.88699,7145082698,984345
Brazil,2014,Biomass,2839.824853,45329.68128,8230985548,382488
Brazil,2022,Geothermal,63860.07458,9492.617475,3763076628,598652
Brazil,2022,Geothermal,93433.78106,16438.6329,5095364540,652666
Brazil,2006,Geothermal,36986.35873,25408.74321,1812279127,535864
Brazil,2012,Hydro,69227.30883,20616.88155,834828340.6,629617
Brazil,2023,Wind,47392.77453,27944.24536,3582928192,815255
Brazil,2017,Solar,56296.69452,3082.163472,3554187944,398508
Brazil,2017,Solar,26692.33643,15439.16879,5621561058,403406
Brazil,2013,Biomass,62021.87105,16904.61027,3536375759,512808
Brazil,2005,Solar,78918.08679,7811.143284,8198410379,333720
Brazil,2010,Biomass,86129.29715,2110.366557,6579497601,291088
Brazil,2005,Hydro,19448.50881,12375.57115,3985730794,661360
Brazil,2013,Geothermal,64599.01514,16917.44674,5434047685,896462
Brazil,2006,Solar,32571.94553,16543.1618,3624642723,89540
Brazil,2014,Solar,46653.44071,12335.58252,3171625070,979070
Brazil,2007,Solar,87198.46378,18453.45543,7428071183,329297
Brazil,2016,Geothermal,18045.83574,21697.59929,6124792298,376214
Brazil,2023,Solar,32625.91926,21359.99402,5192008995,312152
Brazil,2003,Geothermal,82813.24526,47693.02052,2257208379,706968
Brazil,2019,Wind,87601.38582,29204.01238,3436930924,434257
Brazil,2013,Biomass,95657.62059,10356.08071,7433758123,547513
Brazil,2010,Wind,68441.62848,10064.69767,5947625012,26872
